date,USDT,crypto,binance,p2p,dollar rate
2020-08-23,1,9,5,0,18
2020-08-30,1,10,6,0,21
2020-09-06,1,8,5,0,18
2020-09-13,1,7,5,0,15
2020-09-20,1,6,4,0,12
2020-09-27,1,6,3,0,12
2020-10-04,1,6,4,0,11
2020-10-11,1,6,4,0,11
2020-10-18,1,5,3,0,9
2020-10-25,0,6,3,0,11
2020-11-01,1,5,3,0,10
2020-11-08,1,6,3,0,11
2020-11-15,1,6,5,0,12
2020-11-22,1,8,6,0,15
2020-11-29,1,7,5,0,22
2020-12-06,1,6,4,0,16
2020-12-13,1,7,6,0,14
2020-12-20,1,7,7,0,13
2020-12-27,1,9,8,0,14
2021-01-03,1,12,12,0,18
2021-01-10,2,11,9,0,15
2021-01-17,1,10,8,0,13
2021-01-24,1,9,10,0,12
2021-01-31,2,22,15,2,12
2021-02-07,2,19,17,4,11
2021-02-14,2,15,19,2,12
2021-02-21,2,15,16,2,13
2021-02-28,2,10,12,1,12
2021-03-07,2,11,13,1,11
2021-03-14,3,14,15,1,11
2021-03-21,3,15,15,1,12
2021-03-28,3,16,18,1,11
2021-04-04,3,20,25,1,10
2021-04-11,5,24,36,2,12
2021-04-18,6,26,30,2,12
2021-04-25,4,21,23,1,10
2021-05-02,6,24,30,2,10
2021-05-09,7,28,32,2,10
2021-05-16,5,31,27,2,11
2021-05-23,3,20,17,1,11
2021-05-30,3,17,17,1,12
2021-06-06,3,17,14,1,12
2021-06-13,3,14,12,1,12
2021-06-20,2,14,11,1,11
2021-06-27,3,13,12,1,11
2021-07-04,3,11,11,1,11
2021-07-11,3,13,10,1,10
2021-07-18,2,12,11,1,11
2021-07-25,4,14,14,1,14
2021-08-01,3,14,14,1,15
2021-08-08,3,15,16,1,11
2021-08-15,4,15,17,1,11
2021-08-22,3,16,16,1,10
2021-08-29,3,16,16,1,11
2021-09-05,4,16,17,1,13
2021-09-12,4,15,16,1,16
2021-09-19,4,16,14,1,18
2021-09-26,4,15,12,1,16
2021-10-03,5,19,19,1,15
2021-10-10,5,18,20,1,17
2021-10-17,4,18,22,1,11
2021-10-24,6,24,27,1,13
2021-10-31,5,22,25,1,11
2021-11-07,6,28,24,1,15
2021-11-14,6,28,21,1,14
2021-11-21,5,24,18,1,14
2021-11-28,5,20,20,1,11
2021-12-05,4,19,14,1,11
2021-12-12,4,20,14,1,9
2021-12-19,4,20,16,1,11
2021-12-26,5,24,17,1,11
2022-01-02,8,37,29,2,15
2022-01-09,7,31,27,1,13
2022-01-16,7,32,24,1,11
2022-01-23,8,30,25,1,12
2022-01-30,7,29,23,2,12
2022-02-06,7,27,23,2,12
2022-02-13,8,28,21,1,12
2022-02-20,7,27,20,1,11
2022-02-27,8,26,21,1,12
2022-03-06,8,28,21,1,12
2022-03-13,9,30,20,2,14
2022-03-20,10,28,23,2,13
2022-03-27,11,34,27,2,15
2022-04-03,16,29,25,2,13
2022-04-10,26,28,27,2,12
2022-04-17,22,28,26,2,11
2022-04-24,17,31,27,2,13
2022-05-01,13,28,25,1,12
2022-05-08,17,33,30,2,15
2022-05-15,11,28,24,2,15
2022-05-22,11,27,22,1,16
2022-05-29,10,25,23,1,18
2022-06-05,10,24,19,2,14
2022-06-12,12,28,20,1,15
2022-06-19,10,25,20,2,15
2022-06-26,10,23,20,1,15
2022-07-03,10,24,20,1,15
2022-07-10,10,24,21,1,14
2022-07-17,10,24,22,2,19
2022-07-24,12,25,24,2,36
2022-07-31,9,23,23,2,39
2022-08-07,9,22,21,1,26
2022-08-14,9,23,21,1,22
2022-08-21,9,23,21,2,19
2022-08-28,9,23,21,1,19
2022-09-04,11,22,23,2,17
2022-09-11,10,24,23,1,17
2022-09-18,11,24,23,2,17
2022-09-25,12,24,24,2,21
2022-10-02,12,23,21,1,18
2022-10-09,10,23,18,1,17
2022-10-16,11,20,17,1,17
2022-10-23,12,21,19,1,17
2022-10-30,13,22,21,2,32
2022-11-06,13,22,23,2,49
2022-11-13,11,24,20,1,47
2022-11-20,9,20,18,1,30
2022-11-27,10,20,18,1,26
2022-12-04,10,21,18,1,23
2022-12-11,10,20,20,1,22
2022-12-18,10,20,19,1,21
2022-12-25,10,20,18,1,17
2023-01-01,9,20,18,1,18
2023-01-08,9,22,18,2,17
2023-01-15,8,19,17,1,17
2023-01-22,8,19,17,1,16
2023-01-29,8,21,17,1,19
2023-02-05,9,22,18,1,18
2023-02-12,7,18,16,1,17
2023-02-19,8,20,17,1,19
2023-02-26,7,16,14,1,16
2023-03-05,8,20,16,2,15
2023-03-12,8,20,17,1,15
2023-03-19,9,20,17,1,14
2023-03-26,9,21,18,1,15
2023-04-02,8,19,19,1,13
2023-04-09,8,20,19,1,15
2023-04-16,8,20,18,1,13
2023-04-23,8,18,18,1,14
2023-04-30,8,20,21,1,13
2023-05-07,9,20,19,1,13
2023-05-14,8,18,17,1,12
2023-05-21,8,19,19,1,15
2023-05-28,8,19,19,1,25
2023-06-04,8,20,25,1,18
2023-06-11,8,20,22,1,29
2023-06-18,9,19,20,1,30
2023-06-25,8,20,20,1,23
2023-07-02,9,19,20,2,19
2023-07-09,10,20,22,1,20
2023-07-16,10,20,24,1,26
2023-07-23,10,22,23,1,23
2023-07-30,11,22,24,2,21
2023-08-06,11,19,24,2,26
2023-08-13,11,20,26,2,39
2023-08-20,9,19,20,1,29
2023-08-27,9,18,19,1,21
2023-09-03,8,19,19,1,20
2023-09-10,9,18,18,1,19
2023-09-17,8,17,17,1,20
2023-09-24,9,17,19,1,21
2023-10-01,8,18,19,1,18
2023-10-08,8,18,21,2,19
2023-10-15,11,20,22,2,24
2023-10-22,12,19,25,2,43
2023-10-29,12,20,26,2,64
2023-11-05,11,18,22,2,45
2023-11-12,9,19,21,1,33
2023-11-19,9,19,26,1,24
2023-11-26,9,18,22,2,22
2023-12-03,9,21,21,1,19
2023-12-10,11,21,22,1,21
2023-12-17,12,23,24,2,21
2023-12-24,12,26,27,2,18
2023-12-31,12,26,30,2,20
2024-01-07,12,23,24,2,19
2024-01-14,11,24,22,3,24
2024-01-21,11,23,22,2,25
2024-01-28,13,23,26,2,38
2024-02-04,12,22,23,2,30
2024-02-11,13,23,24,2,29
2024-02-18,19,29,55,5,78
2024-02-25,23,30,65,12,100
2024-03-03,21,31,38,6,48
2024-03-10,18,29,26,4,31
2024-03-17,20,32,21,4,46
2024-03-24,21,32,26,4,79
2024-03-31,18,29,19,3,57
2024-04-07,15,28,17,3,50
2024-04-14,13,26,14,2,69
2024-04-21,17,26,15,3,59
2024-04-28,15,26,12,3,40
2024-05-05,12,25,12,4,37
2024-05-12,22,29,21,5,41
2024-05-19,20,33,19,3,43
2024-05-26,20,33,20,3,39
2024-06-02,23,38,48,3,34
2024-06-09,24,37,31,3,27
2024-06-16,22,32,22,2,23
2024-06-23,20,30,18,2,22
2024-06-30,18,32,15,2,22
2024-07-07,20,37,15,3,24
2024-07-14,26,37,14,2,28
2024-07-21,17,41,20,3,25
2024-07-28,19,33,11,2,22
2024-08-04,17,29,13,2,20
2024-08-11,17,26,11,2,18
2024-08-18,16,28,24,2,17
2024-08-25,37,37,35,5,20
2024-09-01,25,35,19,3,18
2024-09-08,19,37,29,2,18
2024-09-15,26,37,46,3,16
2024-09-22,39,38,75,3,18
2024-09-29,22,33,18,3,14
2024-10-06,20,30,16,2,15
2024-10-13,16,32,17,2,14
2024-10-20,15,30,11,2,14
2024-10-27,14,29,9,2,14
2024-11-03,13,32,8,2,13
2024-11-10,18,34,13,3,14
2024-11-17,19,34,12,3,14
2024-11-24,16,32,10,3,13
2024-12-01,17,33,12,3,24
2024-12-08,17,31,10,2,29
2024-12-15,16,30,9,2,18
2024-12-22,15,25,14,2,16
2024-12-29,16,28,11,1,16
2025-01-05,12,27,9,2,15
2025-01-12,14,26,9,2,15
2025-01-19,15,30,11,2,13
2025-01-26,13,25,8,1,15
2025-02-02,11,24,7,1,17
2025-02-09,11,24,9,1,16
2025-02-16,13,24,12,3,18
2025-02-23,15,24,12,2,20
2025-03-02,14,27,11,2,19
2025-03-09,14,25,10,2,18
2025-03-16,13,24,8,2,16
2025-03-23,13,23,9,2,15
2025-03-30,13,24,8,1,17
2025-04-06,13,24,8,1,18
2025-04-13,13,22,9,2,15
2025-04-20,10,20,9,2,14
2025-04-27,10,20,8,2,13
2025-05-04,10,18,8,2,11
2025-05-11,11,20,7,2,11
2025-05-18,10,19,7,2,10
2025-05-25,11,19,7,2,11
2025-06-01,11,20,8,2,11
2025-06-08,11,20,7,2,11
2025-06-15,10,19,7,2,12
2025-06-22,9,19,6,1,10
2025-06-29,10,18,6,1,12
2025-07-06,11,21,7,1,13
2025-07-13,10,20,7,2,12
2025-07-20,11,20,8,1,10
2025-07-27,10,20,7,1,11
2025-08-03,10,20,7,1,10
2025-08-10,10,19,7,1,10
2025-08-17,11,19,6,1,9
2025-08-24,11,20,7,2,7
